site,section,title,summary,link,published,body,clustering_index
livemint,companies,Vanguard CEO Ramji Calls Trump Accounts a ‘Fabulous Concept’,"The Trump administration’s plan to give $1,000 in seed funding to millions of US children is a “fabulous concept,” Vanguard Group Chief Executive Officer Salim Ramji said.",https://www.livemint.com/companies/vanguard-ceo-ramji-calls-trump-accounts-a-fabulous-concept-11770058841616.html,2026-02-02 19:00:41+00:00,"The Trump administration’s plan to give $1,000 in seed funding to millions of US children is a “fabulous concept,” Vanguard Group Chief Executive Officer Salim Ramji said.
“It helps people invest early — in this case right from when they’re born,” Ramji said in an interview Monday on Bloomberg TV. “It does it in a low-cost way.”
President Donald Trump introduced the accounts as part of the One Big Beautiful Bill Act, offering children born during his second administration funding that they can then put into individual retirement accounts. The US government is considering making Robinhood Markets Inc. an initial trustee of the program, along with one or two other firms.
Ramji didn’t say whether Vanguard has been in contact with the administration about the accounts. Still, he praised the “underlying ethos” of the program because fees are capped and the accounts would be invested in a diversified, broad-based set of indexes.
While customers could eventually move their funds to a different provider, the program would likely hand Robinhood billions of dollars of new assets to manage if it’s selected as a trustee. Trustees would potentially gain millions of new customers, as well.
JPMorgan Chase & Co. and some other banks have said they’ll match Trump account contributions for eligible employees.
Vanguard, which oversees about $12 trillion, reversed its longstanding ban on cryptocurrencies in December, allowing exchange-traded funds and mutual funds that primarily hold select cryptocurrencies to be traded on its platform.
Ramji, a former BlackRock Inc. executive, was tapped by Vanguard in 2024 to become the first outsider to lead the firm known for revolutionizing investing with the index funds. Asked about Trump’s choice of Kevin Warsh as the next chair of the Federal Reserve, Ramji called him a “great choice.”
This article was generated from an automated news agency feed without modifications to text.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.",
reuters,world,Russia says foreign forces in Ukraine would be 'legitimate targets' - Reuters,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPQlYybTdGbThFM0RvcjdlTE03Y3ZoQmxEZlphOG9uWUVpRzN6MWFuaGU2TDVBNk9PSDUtaXR3cV9Fay1Eb1dnYWJjdnBOMkoydTNidWVIZTUxMjBodk1DVmtRNXNFSUNDLS1VdXctczZYcUhZYlZzRldjbnp5ekRzSTNqM0FpdXA3VU5SQWpkTFdDaTlkZHFIaHlySTBQOUo4SnRwUWhJd000REFHU2pjNg?oc=5"" target=""_blank"">Russia says foreign forces in Ukraine would be 'legitimate targets'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMisAFBVV95cUxPQlYybTdGbThFM0RvcjdlTE03Y3ZoQmxEZlphOG9uWUVpRzN6MWFuaGU2TDVBNk9PSDUtaXR3cV9Fay1Eb1dnYWJjdnBOMkoydTNidWVIZTUxMjBodk1DVmtRNXNFSUNDLS1VdXctczZYcUhZYlZzRldjbnp5ekRzSTNqM0FpdXA3VU5SQWpkTFdDaTlkZHFIaHlySTBQOUo4SnRwUWhJd000REFHU2pjNg?oc=5,2026-02-02 19:04:09+00:00,,
reuters,world,Gold’s bull run seen intact despite steep pullback - Reuters,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxQdFd1SGYtZVVWWDFqTlptNnFrWVNSanM2dS1waVU0bUkwY0c1M0RtWVhTck10UjJmNkhfRGM1Q21XZUh3d2Vqc2N6TXUwRmx6WnF0cEptOURhd0xUUUx0dnBsOGNnX1kwOTlGYnh0aGVaZVZvbzZTRFFUcDZMNzJDRTUxb1lUdlBBSW9Lc04tTmdsNUxiU0RfMUhMNElldw?oc=5"" target=""_blank"">Gold’s bull run seen intact despite steep pullback</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMingFBVV95cUxQdFd1SGYtZVVWWDFqTlptNnFrWVNSanM2dS1waVU0bUkwY0c1M0RtWVhTck10UjJmNkhfRGM1Q21XZUh3d2Vqc2N6TXUwRmx6WnF0cEptOURhd0xUUUx0dnBsOGNnX1kwOTlGYnh0aGVaZVZvbzZTRFFUcDZMNzJDRTUxb1lUdlBBSW9Lc04tTmdsNUxiU0RfMUhMNElldw?oc=5,2026-02-02 19:08:21+00:00,,
economic_times,industry-auto,Auto sales surge as tax cuts fuel demand momentum,"This marked the fourth straight month of a double-digit growth in domestic car sales. Car sales grew by 17% in October, 19% in November, and 27% in December, as consumers rushed to showrooms to benefit from price cuts on cars and SUVs following a reduction in goods and services tax (GST) with effect from September 22.",https://economictimes.indiatimes.com/industry/auto/auto-news/auto-sales-surge-as-tax-cuts-fuel-demand-momentum/articleshow/127870108.cms,2026-02-02 19:14:49+00:00,"This marked the fourth straight month of a double-digit growth in domestic car sales. Car sales grew by 17% in October, 19% in November, and 27% in December, as consumers rushed to showrooms to benefit from price cuts on cars and SUVs following a reduction in goods and services tax (GST) with effect from September 22.
Choose your reason below and click on the Report button. This will alert our moderators to take action
Log out of your current logged-in accountand log in again using your ET Prime credentials  to enjoy all member benefits.
Trump temper on H-1B visas is forcing Indians to do these things to stay put in US
Why veterans like Reliance, L&T are on acquisition spree? Aswath Damodaran has an answer.
Huawei launches its own OS to compete with Google and Apple. But can it win beyond China?
Check the score based on the company's fundamentals, solvency, growth, risk & ownership to decide the right stocks.
Analyze the market sentiments & identify the trend reversal for strategic decisions.
Ask your stock queries & get assured replies by ET appointed, SEBI registered experts.
Read your daily newspaper in Digital View & get it delivered to your inbox everyday.",
reuters,world,UK police review reports of alleged misconduct by Mandelson after Epstein files release - Reuters,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxQZS1oenNLRWk5MnlzYjhPSzVkMUdwVnczNmRzemhlRTVwREVsRV9kWGV6Mm5tbnN0V212T2s3YzM1d19LUXZlVjVwVW1UTlp0ZHkyV3dLWWN0Nk1HUlNLbFJKSWVTNHU1V1lERWd6VXUxOVVJWm9LT0ZzWXIxaW16NXFyQ3dfMWtYVkEzUWx0ZWVQVXk0SjRxM05lOVJiNzE5a3VDWEFsazNIUEczV2c3NVNaTXFwdEMxV1loUDZR?oc=5"" target=""_blank"">UK police review reports of alleged misconduct by Mandelson after Epstein files release</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMivgFBVV95cUxQZS1oenNLRWk5MnlzYjhPSzVkMUdwVnczNmRzemhlRTVwREVsRV9kWGV6Mm5tbnN0V212T2s3YzM1d19LUXZlVjVwVW1UTlp0ZHkyV3dLWWN0Nk1HUlNLbFJKSWVTNHU1V1lERWd6VXUxOVVJWm9LT0ZzWXIxaW16NXFyQ3dfMWtYVkEzUWx0ZWVQVXk0SjRxM05lOVJiNzE5a3VDWEFsazNIUEczV2c3NVNaTXFwdEMxV1loUDZR?oc=5,2026-02-02 19:32:04+00:00,,
reuters,world,Trump says US will have 'very substantial' response if Canada enacts trade deal with China - Reuters,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxQUm1iLUFVUi00bkFtZzEwWHJXNE5UcE5EN3hsaUI1OVozWnRWclR4THhFdFRtTWNNTjJCRE9kTlA3aldNbEp2cXJ4UU43bGlaZlJfaXBjUVc0MVlzdGFmVnpibktfdEdkTTFyWUlkOVNjaUNpeXF0ckpzZFd1eFUyR0l1Tmh6d01YbUliRjRSbnd1NFNMRlNjQm1hVXktUkhXMlpWay1IRU56VU1ZcDllSUdIR1VuRkxveGhGS0pTM0NYRXM?oc=5"" target=""_blank"">Trump says US will have 'very substantial' response if Canada enacts trade deal with China</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMiwwFBVV95cUxQUm1iLUFVUi00bkFtZzEwWHJXNE5UcE5EN3hsaUI1OVozWnRWclR4THhFdFRtTWNNTjJCRE9kTlA3aldNbEp2cXJ4UU43bGlaZlJfaXBjUVc0MVlzdGFmVnpibktfdEdkTTFyWUlkOVNjaUNpeXF0ckpzZFd1eFUyR0l1Tmh6d01YbUliRjRSbnd1NFNMRlNjQm1hVXktUkhXMlpWay1IRU56VU1ZcDllSUdIR1VuRkxveGhGS0pTM0NYRXM?oc=5,2026-02-02 20:06:22+00:00,,
reuters,world,Egypt's drone deployment to border raises stakes in Sudan's civil war - Reuters,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOTWJkejNZaFY3X25xb0FEdk5vNWltNWw2WVY1YncxR0Zvc3RwcVJfWXVlUDBQd3RBTEFFenZTZ2xqUmVySFpLR05JNXUxLVlSSGVmdjliTzl0aUQ5YkFNc3pTT0F5aFdoczR4Uy1qQ0ZpTEMtb292ak1FSlA4NFk3Nm9WUmpLT2E3ak96am56OFpKTk9IQmF2dXVVTWFaOFN6VjBBRl9iM2RvQWNVQjRv?oc=5"" target=""_blank"">Egypt's drone deployment to border raises stakes in Sudan's civil war</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMirwFBVV95cUxOTWJkejNZaFY3X25xb0FEdk5vNWltNWw2WVY1YncxR0Zvc3RwcVJfWXVlUDBQd3RBTEFFenZTZ2xqUmVySFpLR05JNXUxLVlSSGVmdjliTzl0aUQ5YkFNc3pTT0F5aFdoczR4Uy1qQ0ZpTEMtb292ak1FSlA4NFk3Nm9WUmpLT2E3ak96am56OFpKTk9IQmF2dXVVTWFaOFN6VjBBRl9iM2RvQWNVQjRv?oc=5,2026-02-02 20:41:56+00:00,,
reuters,world,Palantir CEO defends surveillance tech as US government contracts boost sales - Reuters,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxPMnNhX3phRGNEcERlOWwxNlRVYWo1Zi1jeC13cnhNNWlhQklBU2pwSzd2aTgtWXlhcHBiRUZ2MFZkamVHWXFnTUwtNGRaM2RIc2otZ09TcVpfODdxcER4cWFZSTNpcVRjejlnR1pIV2JsVHBROGxLZGJHYXRyWVpLMkYwZzM2aFVPcWg3dDNxMk9LNDY4bkg5RDFIbUNRT0xzQVRZblJfdHNSODBsLWF0WWlnci0zTFFiaFJSWXVrTWs?oc=5"" target=""_blank"">Palantir CEO defends surveillance tech as US government contracts boost sales</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMiwAFBVV95cUxPMnNhX3phRGNEcERlOWwxNlRVYWo1Zi1jeC13cnhNNWlhQklBU2pwSzd2aTgtWXlhcHBiRUZ2MFZkamVHWXFnTUwtNGRaM2RIc2otZ09TcVpfODdxcER4cWFZSTNpcVRjejlnR1pIV2JsVHBROGxLZGJHYXRyWVpLMkYwZzM2aFVPcWg3dDNxMk9LNDY4bkg5RDFIbUNRT0xzQVRZblJfdHNSODBsLWF0WWlnci0zTFFiaFJSWXVrTWs?oc=5,2026-02-02 21:16:15+00:00,,
reuters,world,Trump says Republicans should 'nationalize' voting in at least 15 places - Reuters,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxNWXotVktMOHlGYm9JUW1aUmc5ckk2MEVTdkZKektyV0tWb2lMZjI2US1BclNObUdqcmhpZ0E1cGZVV0hRM0NoN01HbE82NTRGZGNOX2tUVE14Y0M3aTFsRE9pZGw0ejJTRGtfekY0eUR1ZzNpeDJCV1lxTE15Qlg5Zy1BeVhzSlpiSlZkbDBCTy1IdjVmSjBQYzIxalJWUWVQc3Y4djlieklsNHUtREE?oc=5"" target=""_blank"">Trump says Republicans should 'nationalize' voting in at least 15 places</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMirgFBVV95cUxNWXotVktMOHlGYm9JUW1aUmc5ckk2MEVTdkZKektyV0tWb2lMZjI2US1BclNObUdqcmhpZ0E1cGZVV0hRM0NoN01HbE82NTRGZGNOX2tUVE14Y0M3aTFsRE9pZGw0ejJTRGtfekY0eUR1ZzNpeDJCV1lxTE15Qlg5Zy1BeVhzSlpiSlZkbDBCTy1IdjVmSjBQYzIxalJWUWVQc3Y4djlieklsNHUtREE?oc=5,2026-02-02 21:18:04+00:00,,
reuters,world,"US judge dissolves DHS shooting evidence order, Noem pledges body cameras - Reuters","<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxQalUxTnQ0X1duNXpaM2ZyYTV5NWlIbmcxQjUxNXQ0bzhldzJ4eDFxUkhLeDJCcjhKRmRCT09zRnh6U2pQX2N2OE9oMmxlUDNHN2dhdzdJY05ZSmFFUkhLUUZJb1ViOEp1bXljMmIwLUZGVU9ieW1aTTlvand5NllIVF9FRG8zZlZTTXNBUmUwWWVkUzVtdlRrMVlxU2RaY1ZRcWd2Y2treXppSnJ5?oc=5"" target=""_blank"">US judge dissolves DHS shooting evidence order, Noem pledges body cameras</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMirAFBVV95cUxQalUxTnQ0X1duNXpaM2ZyYTV5NWlIbmcxQjUxNXQ0bzhldzJ4eDFxUkhLeDJCcjhKRmRCT09zRnh6U2pQX2N2OE9oMmxlUDNHN2dhdzdJY05ZSmFFUkhLUUZJb1ViOEp1bXljMmIwLUZGVU9ieW1aTTlvand5NllIVF9FRG8zZlZTTXNBUmUwWWVkUzVtdlRrMVlxU2RaY1ZRcWd2Y2treXppSnJ5?oc=5,2026-02-02 21:24:29+00:00,,
