site,section,title,summary,link,published,body,clustering_index
reuters,world,"Netanyahu threatens Iran new leader, says government collapse uncertain - Reuters","<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQd0lZTEJESzdGTnhRWGtmckxTNDVJeTVrdEdlVV9RV0xoM3RtRzFhQ1MxaHRJOXFhc3UyYUdiYklvUDZfYWhtSzhPc2Z4c1lKOUFPaDllWnd1SXhXMk4wRDVZZEVRWTRPeU5PYnVWZ2RIV3dkT29vXzFaWG5IODZWYWF1OHhnckJKZUR5VFRneGJrWHBfWkV3aFRLUjl0VWVHS2VhM1cxajk3V0FCNEFXbnN3aDFNY1ZVNjQ0RWUyTU9rVjh1LTlJ?oc=5"" target=""_blank"">Netanyahu threatens Iran new leader, says government collapse uncertain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMixwFBVV95cUxQd0lZTEJESzdGTnhRWGtmckxTNDVJeTVrdEdlVV9RV0xoM3RtRzFhQ1MxaHRJOXFhc3UyYUdiYklvUDZfYWhtSzhPc2Z4c1lKOUFPaDllWnd1SXhXMk4wRDVZZEVRWTRPeU5PYnVWZ2RIV3dkT29vXzFaWG5IODZWYWF1OHhnckJKZUR5VFRneGJrWHBfWkV3aFRLUjl0VWVHS2VhM1cxajk3V0FCNEFXbnN3aDFNY1ZVNjQ0RWUyTU9rVjh1LTlJ?oc=5,2026-03-12 19:50:22+00:00,,
reuters,world,Saudi Aramco says claims it is in talks with Ukrainian firms for drones inaccurate - Reuters,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxPb1JXSlBFalJjMGlOVlJPUUFnQWpURFU3WFp3SERBZ3RLeWdwVWNPZGFmTWU3Q21zM1FsaVFrTExIM2dzdUppVXV5cmpPcDlXdUNzNy15OF9JQ0hpZVRFMkt5ZzJIOXlUSzRrMmVzRUlXWkNIQmhscjZHMmR6SjhXeGpJaVRZQllGQlBpTFRTcmVPZ0hDNGVtOUdpalk5QmxSNV9tRTM5OW1LTUctS0FZNFhDN1MxTDlLcDBYaTdabnJzODVhcVNESQ?oc=5"" target=""_blank"">Saudi Aramco says claims it is in talks with Ukrainian firms for drones inaccurate</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMiyAFBVV95cUxPb1JXSlBFalJjMGlOVlJPUUFnQWpURFU3WFp3SERBZ3RLeWdwVWNPZGFmTWU3Q21zM1FsaVFrTExIM2dzdUppVXV5cmpPcDlXdUNzNy15OF9JQ0hpZVRFMkt5ZzJIOXlUSzRrMmVzRUlXWkNIQmhscjZHMmR6SjhXeGpJaVRZQllGQlBpTFRTcmVPZ0hDNGVtOUdpalk5QmxSNV9tRTM5OW1LTUctS0FZNFhDN1MxTDlLcDBYaTdabnJzODVhcVNESQ?oc=5,2026-03-12 20:27:45+00:00,,
reuters,world,Iran's Shi'ite allies step up strikes despite weakened hand - Reuters,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPYjBIa0xHc2lhVDNSb0UxNDBEN0ZGM2FvZUdJd1k2c1hWQ2ZOMVo1M09ZQjJ6b1ZVNjRZMS1ld3luc1hmaWw1X0h4eVVJV1VMaGxxRFloNzNXSGdGRk4yNEVOcWxvd2RkSDA5M250UzBNcndyQ0NXWVRaUXpqZXBDcUVqTlR3UlQ4dzlzMnFlSHN6SzNjMzUxcC0xX2xwVUNrRWRXLUxwcVNOdmVPTld5LQ?oc=5"" target=""_blank"">Iran's Shi'ite allies step up strikes despite weakened hand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMisAFBVV95cUxPYjBIa0xHc2lhVDNSb0UxNDBEN0ZGM2FvZUdJd1k2c1hWQ2ZOMVo1M09ZQjJ6b1ZVNjRZMS1ld3luc1hmaWw1X0h4eVVJV1VMaGxxRFloNzNXSGdGRk4yNEVOcWxvd2RkSDA5M250UzBNcndyQ0NXWVRaUXpqZXBDcUVqTlR3UlQ4dzlzMnFlSHN6SzNjMzUxcC0xX2xwVUNrRWRXLUxwcVNOdmVPTld5LQ?oc=5,2026-03-12 20:35:47+00:00,,
reuters,world,"Venezuela, Colombia cancel meeting of their presidents without explanation - Reuters","<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxQd0l5QU5leUk5VFFRNzRjaWEzaVhuSlJIZFFZOGNLblRYVmlxQ0tCRy1MZm5lbnZZUmpaUEtUMG0xVWZGRVpiUkFPV0tUak1MRDdCeEtvS0J3T2ZzNXJ3ZGdxY0Y2N0JwN01qY1EtdHNfcS1BQXhFZmlmdS1OZ2w1UDM3Nm1sdnJucXZZZG5LUXQtMEFiMHhVYXlyeVlxMnh5ZGc2QlpvbUFEQmVvNEFkZ3Rn?oc=5"" target=""_blank"">Venezuela, Colombia cancel meeting of their presidents without explanation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMisgFBVV95cUxQd0l5QU5leUk5VFFRNzRjaWEzaVhuSlJIZFFZOGNLblRYVmlxQ0tCRy1MZm5lbnZZUmpaUEtUMG0xVWZGRVpiUkFPV0tUak1MRDdCeEtvS0J3T2ZzNXJ3ZGdxY0Y2N0JwN01qY1EtdHNfcS1BQXhFZmlmdS1OZ2w1UDM3Nm1sdnJucXZZZG5LUXQtMEFiMHhVYXlyeVlxMnh5ZGc2QlpvbUFEQmVvNEFkZ3Rn?oc=5,2026-03-12 20:44:58+00:00,,
reuters,world,"Ships must coordinate with Iran's navy to pass through Strait of Hormuz, foreign ministry says - Reuters","<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxNYzJxMEE4QlJGUTZsb2g5U3VCNzRULXljMjc2allqX1I2RWRBQjhsWVFfa1NONmJhdVlHeHgzU2FySEtLLUcxZl9BWVo3YWZEX1FQcXhHVmFkeWdrVDhtLW1LX0xGb05VM0FOdEFPcHhOV2pqWUJJc2NCanNoRXBLdWNuUmw4Szhob2N0SzlsdURQVmNuYTdvNW5Ha3NkT2ZPUkJjUGs3Qkprb3pkYlhuMXoyN2I?oc=5"" target=""_blank"">Ships must coordinate with Iran's navy to pass through Strait of Hormuz, foreign ministry says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMitAFBVV95cUxNYzJxMEE4QlJGUTZsb2g5U3VCNzRULXljMjc2allqX1I2RWRBQjhsWVFfa1NONmJhdVlHeHgzU2FySEtLLUcxZl9BWVo3YWZEX1FQcXhHVmFkeWdrVDhtLW1LX0xGb05VM0FOdEFPcHhOV2pqWUJJc2NCanNoRXBLdWNuUmw4Szhob2N0SzlsdURQVmNuYTdvNW5Ha3NkT2ZPUkJjUGs3Qkprb3pkYlhuMXoyN2I?oc=5,2026-03-12 20:54:33+00:00,,
reuters,world,"Trump administration estimates Iran war cost at over $11 billion in six days, source says - Reuters","<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNZms1Uks3WlkteU9PX3BWWlVWTm56Z292b1lKZmlLM1o2VlZpZGZ4bHFUbjFrWmdIWVlULUNCMW51eXdBZElxZEtic0VSSjFEQjRLanB0dUJlTFpJUWRXRURqZkFDdWxoM1lZdHNocWhuWkpjNnJXNVc2WTFYSmUzMzl6N2ZkTTQ0a3liVXFvU2hKekxjUjRwU21KR0RpZkRJblFqa1dBVU9tcU1OeWEwQ1Q3U1IzbkRlSXJKVm9R?oc=5"" target=""_blank"">Trump administration estimates Iran war cost at over $11 billion in six days, source says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMivgFBVV95cUxNZms1Uks3WlkteU9PX3BWWlVWTm56Z292b1lKZmlLM1o2VlZpZGZ4bHFUbjFrWmdIWVlULUNCMW51eXdBZElxZEtic0VSSjFEQjRLanB0dUJlTFpJUWRXRURqZkFDdWxoM1lZdHNocWhuWkpjNnJXNVc2WTFYSmUzMzl6N2ZkTTQ0a3liVXFvU2hKekxjUjRwU21KR0RpZkRJblFqa1dBVU9tcU1OeWEwQ1Q3U1IzbkRlSXJKVm9R?oc=5,2026-03-12 20:55:40+00:00,,
reuters,world,Trading Day: The destructive power of $100 oil - Reuters,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxOVVFwajRfcHowVnliZV8zZUlrMUJqdDVEeUE5QXp5YVRVYWttUHJuYjcwZWwtbUYzWHZFWkRCY3pxTDh3emp1Nno5b0JBcGxlZVNRNGJlWE0yd2xxTV80Nko3QkxEWG9CVXdpWE8wN0d4RzBaVnI3RUIwTk1TZkphXzJ1WlUtc1hnTDZUcXdXTWRCTHc?oc=5"" target=""_blank"">Trading Day: The destructive power of $100 oil</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMikwFBVV95cUxOVVFwajRfcHowVnliZV8zZUlrMUJqdDVEeUE5QXp5YVRVYWttUHJuYjcwZWwtbUYzWHZFWkRCY3pxTDh3emp1Nno5b0JBcGxlZVNRNGJlWE0yd2xxTV80Nko3QkxEWG9CVXdpWE8wN0d4RzBaVnI3RUIwTk1TZkphXzJ1WlUtc1hnTDZUcXdXTWRCTHc?oc=5,2026-03-12 21:07:17+00:00,,
reuters,world,"Iran not going to close Strait of Hormuz, Iran UN envoy says - Reuters","<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxPeG1iOVpTam5XUzVvWW1NaDBRelFFRVhFMy1VdjBhTHlEQXlrRFRaNGhPZW4tWEs3enF0bklHR09WY0Q0MVhDNGFMTl9jd0VicDlwNnp6NUFZQmpINkp3TGROVDVMU1NmNHVBVUxTcUp3b05nbTkxaEV4MDVRTFhnalBnUmx2alU3VWRrRUtqM2lsb2RtZ1BlNDVCSFh1UmZjVmFVcS1ZY0txblE?oc=5"" target=""_blank"">Iran not going to close Strait of Hormuz, Iran UN envoy says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMiqwFBVV95cUxPeG1iOVpTam5XUzVvWW1NaDBRelFFRVhFMy1VdjBhTHlEQXlrRFRaNGhPZW4tWEs3enF0bklHR09WY0Q0MVhDNGFMTl9jd0VicDlwNnp6NUFZQmpINkp3TGROVDVMU1NmNHVBVUxTcUp3b05nbTkxaEV4MDVRTFhnalBnUmx2alU3VWRrRUtqM2lsb2RtZ1BlNDVCSFh1UmZjVmFVcS1ZY0txblE?oc=5,2026-03-12 21:11:07+00:00,,
reuters,world,"Drone attack wounds at least six French soldiers at base in Iraq’s Makhmour, Erbil governor says - Reuters","<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxPaC1CVmtpSmVLeVdWUm1sV3NwUmhNSlVaUURMaEI0eXV6SklrNUw0UnNBYzdyQTYxbnJPNklvWkNXNDJ1TGdHTkt4UFZBd1FsaUJQUTBFdW5sMnNIcVFJZTFtRFozQTZZUERjaXNJSW5TT1JSN1c2akY5UEFYUExwU2phbk04MEtqVkJGWGtPUENSYlQ4LVJnLVN5ZzgzbW9MelZWaV8yTkRpTjgxTWpNb2FYRUxLWkRfSVZ3VDM2VQ?oc=5"" target=""_blank"">Drone attack wounds at least six French soldiers at base in Iraq’s Makhmour, Erbil governor says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMivwFBVV95cUxPaC1CVmtpSmVLeVdWUm1sV3NwUmhNSlVaUURMaEI0eXV6SklrNUw0UnNBYzdyQTYxbnJPNklvWkNXNDJ1TGdHTkt4UFZBd1FsaUJQUTBFdW5sMnNIcVFJZTFtRFozQTZZUERjaXNJSW5TT1JSN1c2akY5UEFYUExwU2phbk04MEtqVkJGWGtPUENSYlQ4LVJnLVN5ZzgzbW9MelZWaV8yTkRpTjgxTWpNb2FYRUxLWkRfSVZ3VDM2VQ?oc=5,2026-03-12 21:20:37+00:00,,
livemint,companies,Live Nation employee mocks customers as so stupid in internal messages released in court case,Live Nation employee mocks customers as 'so stupid' in internal messages released in court case,https://www.livemint.com/companies/live-nation-employee-mocks-customers-as-so-stupid-in-internal-messages-released-in-court-case-11773351009822.html,2026-03-12 21:30:09+00:00,"The messages from late 2021 through early 2023 on the online work messaging platform Slack were highlighted late Wednesday in a filing by government lawyers released in the public court record. The lawyers insist the messages should be evidence in the week-old trial in Manhattan federal court against Live Nation and Ticketmaster.
The government lawyers wrote that the statements should be part of the trial because they are “candid, internal messages"" in which Ben Baker “calls fans ‘so stupid,’ explains that he ‘gouge(s)’ them, and brags that Live Nation is ‘robbing them blind, baby.’""
In the submission to Judge Arun Subramanian, the lawyers noted that Baker made the statements while he was a regional director of ticketing with responsibility for a large amphitheater in Florida but has since been promoted to head of ticketing for Venue Nation with responsibilities relating to all of Live Nation's venues.
They said the employees were discussing Live Nation's price for access to the VIP area of a show at the MidFlorida Credit Union Amphitheatre in Tampa when Baker wrote that the prices are “outrageous,” that “these people are so stupid” and that “I almost feel bad taking advantage of them” before writing, “BAHAHAHAHAHA.”
Live Nation wants the exhibits disqualified from the trial, saying the messages reflect “off-the-cuff banter, not policy” between two personal friends who do not work together.
The company's lawyers wrote that the exhibits don't relate to the antitrust claims. They said the employees were making “passing references to non-ticket ancillary products — such as VIP club access, premier parking, or lawn chair rentals — sold to concertgoers at two amphitheaters” in Florida and Virginia.
But lawyers for the plaintiff states and U.S. government wrote that “excessive prices for ancillary services are directly relevant” to their claims and that “ancillaries are a significant way that Live Nation monetizes its monopoly position in the amphitheater market.”
In a statement Thursday, the company said the Slack exchange “from one junior staffer to a friend absolutely doesn't reflect our values or how we operate.”
The company added: “Because this was a private Slack message, leadership learned of this when the public did, and will be looking into the matter promptly.”
The arguments regarding the exhibits were made after Bloomberg News, The New York Times and MLex, a publication which covers legal and regulatory matters, and Inner City Press requested their release.
The trial’s status is up in the air after the federal government announced this week it was settling with Live Nation in a deal that would give Live Nation's competitors some access to ticket sales they are currently excluded from.
Lawyers for more than two dozen states have asked that the ongoing trial be scrapped and that a new jury be chosen in the weeks ahead. A jury that began hearing evidence last week was told to stay home this week with the expectation the trial would resume on Monday.
Meanwhile, Subramanian encouraged lawyers for the states and Live Nation to negotiate this week before telling him late Friday whether they've reached a deal.
Although the parties were not speaking publicly about the progress of any talks, a lawyer for Live Nation indicated at a court hearing Tuesday that there was no realistic chance of a fast deal with all states.
In a letter to the judge Thursday, a states' lawyer signaled the trial was likely to resume, saying the judge needed to rule on whether the Slack message exhibits can be shown to the jury because his decision will have a “material impact” on which witnesses the states call to testify as the states “prepare to resume trial next week.”",
