site,section,link
livemint,markets,https://www.livemint.com/rss/markets
livemint,companies,https://www.livemint.com/rss/companies
business_standard,world_news,https://www.business-standard.com/rss/world-news-221.rss
business_standard,technology,https://www.business-standard.com/rss/technology-108.rss
business_standard,companies,https://www.business-standard.com/rss/companies-101.rss
business_standard,industry,https://www.business-standard.com/rss/industry-217.rss
business_standard,economy,https://www.business-standard.com/rss/economy-102.rss
business_standard,finance,https://www.business-standard.com/rss/finance-103.rss
business_standard,markets,https://www.business-standard.com/rss/markets-106.rss
business_standard,budget,https://www.business-standard.com/rss/budget-110.rss
economic_times,markets,https://economictimes.indiatimes.com/markets/rssfeeds/1977021501.cms
economic_times,technology,https://economictimes.indiatimes.com/tech/rssfeeds/13357270.cms
economic_times,ipo,https://economictimes.indiatimes.com/ipo/rssfeeds/125432745.cms
economic_times,ai,https://economictimes.indiatimes.com/ai/rssfeeds/119215726.cms
economic_times,industry-auto,https://economictimes.indiatimes.com/industry/auto/rssfeeds/13359412.cms
