site,section,title,summary,link,published,body,clustering_index
business_standard,companies,Consumption story of staples is making a comeback: AWL Agri executives - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxNYWNJMnRyb0c3dW5ic3RNMGdxT1Q4WGY0eEYzRHFIMS1iMDRNM1hsbEFla1hlOVBVUWF3NVV3czREcFhwVkpXcnNjMlA4N1g4eWtyeERUWXlKODdSb0lXVmV2ZF9zSnl3c1VKWUZLZTFVei1oMlU5b2cxXzN6VkY1aER4a2ZCMTJNaWJmMkIzSy10enFsSE9tcXNicFpXakZGczZzdnd4cHBPVlEzclhBQVIzc195bW5RRTc4dTU2aC1fUTNVVHJ2T1I4eDdHcUZ5Wk5Md181TdIB3AFBVV95cUxNTVA2YWhTTGk3dXJ0eldMVDZ3b2xhLWVpUG1QdEhlRU5nczBTQUZTV1NqUFdsN3pPd0lCd1JUUDhEREM3SVdVTEhQdGhxMktCV0tULTFSNW00cVRLVzJ4SUdQa3RqdzJUdXZiVFhHZHV0UWlWcGp0dml1ZkF1X2l5c2RSNzlwTmNpaXVJR0tqb3ZsangwSkNBcFRlbWFOUXlvX0Z4Y2didTM2Zy13TjBZVVQtWFdzcnhBaGdPV2NLR0JFa0ROWnhRcXZydmFJT29uV0EyQTVvbmR6OUY2?oc=5"" target=""_blank"">Consumption story of staples is making a comeback: AWL Agri executives</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",https://news.google.com/rss/articles/CBMi1wFBVV95cUxNYWNJMnRyb0c3dW5ic3RNMGdxT1Q4WGY0eEYzRHFIMS1iMDRNM1hsbEFla1hlOVBVUWF3NVV3czREcFhwVkpXcnNjMlA4N1g4eWtyeERUWXlKODdSb0lXVmV2ZF9zSnl3c1VKWUZLZTFVei1oMlU5b2cxXzN6VkY1aER4a2ZCMTJNaWJmMkIzSy10enFsSE9tcXNicFpXakZGczZzdnd4cHBPVlEzclhBQVIzc195bW5RRTc4dTU2aC1fUTNVVHJ2T1I4eDdHcUZ5Wk5Md181TdIB3AFBVV95cUxNTVA2YWhTTGk3dXJ0eldMVDZ3b2xhLWVpUG1QdEhlRU5nczBTQUZTV1NqUFdsN3pPd0lCd1JUUDhEREM3SVdVTEhQdGhxMktCV0tULTFSNW00cVRLVzJ4SUdQa3RqdzJUdXZiVFhHZHV0UWlWcGp0dml1ZkF1X2l5c2RSNzlwTmNpaXVJR0tqb3ZsangwSkNBcFRlbWFOUXlvX0Z4Y2didTM2Zy13TjBZVVQtWFdzcnhBaGdPV2NLR0JFa0ROWnhRcXZydmFJT29uV0EyQTVvbmR6OUY2?oc=5,2026-02-03 18:00:12+00:00,,
business_standard,world_news,"Spain considers social media ban for under-16s, joining others in Europe - Business Standard","<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxNSEgwbkRReDRVMU1lX2NjNXFMY0NTR2tfcGZUOFJ5Y1dmbFNRakNQRzRwNHB2Mk1kYjJHR3ZDY2t5QktISGRnMFlUdDcydDhIb1J5emF6YTJJVTRIQURWQXpSbndYOXVoeE9uaHl0UFllMEtkMlpGY0J0Z1RrSWtkNkQzOGM0emx0YjBhZzNyVG1Rc2hvaXhNc3lobjJUaGhBQkdvelNNZnRXa1A2MkVkc2ZQbHVYVlNra3RXa1ZaeTBWTUpBT2NUb3JGSjQ4TEVwSVHSAdcBQVVfeXFMUENnRkk3dEdHZ24tWDhDbG5ObFdYZG5pSGh5Y3pqZTZJYXJsRHpyTU5uVGhjQkFPR25ER01pTGVYUE9kNmVuMlRFUmFiR1pVdmE1TFowRGZKQjgtUncxVTl5cnpSVG5xNkMzRTRJMmVja0J2R0xDV29LdFFFc1ZjQV9jWWFZQnE5dE5qNFNKNGFjZ1VrZ0ZkLUpBeVVVc01HcjNFZXlkbW42R2FkZ3dNRElMWkw3TmQ3amYtS1pQek1VVnZhWUtDTk8yYXR3V3BPbzU4WURQTmc?oc=5"" target=""_blank"">Spain considers social media ban for under-16s, joining others in Europe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",https://news.google.com/rss/articles/CBMi0gFBVV95cUxNSEgwbkRReDRVMU1lX2NjNXFMY0NTR2tfcGZUOFJ5Y1dmbFNRakNQRzRwNHB2Mk1kYjJHR3ZDY2t5QktISGRnMFlUdDcydDhIb1J5emF6YTJJVTRIQURWQXpSbndYOXVoeE9uaHl0UFllMEtkMlpGY0J0Z1RrSWtkNkQzOGM0emx0YjBhZzNyVG1Rc2hvaXhNc3lobjJUaGhBQkdvelNNZnRXa1A2MkVkc2ZQbHVYVlNra3RXa1ZaeTBWTUpBT2NUb3JGSjQ4TEVwSVHSAdcBQVVfeXFMUENnRkk3dEdHZ24tWDhDbG5ObFdYZG5pSGh5Y3pqZTZJYXJsRHpyTU5uVGhjQkFPR25ER01pTGVYUE9kNmVuMlRFUmFiR1pVdmE1TFowRGZKQjgtUncxVTl5cnpSVG5xNkMzRTRJMmVja0J2R0xDV29LdFFFc1ZjQV9jWWFZQnE5dE5qNFNKNGFjZ1VrZ0ZkLUpBeVVVc01HcjNFZXlkbW42R2FkZ3dNRElMWkw3TmQ3amYtS1pQek1VVnZhWUtDTk8yYXR3V3BPbzU4WURQTmc?oc=5,2026-02-03 18:23:40+00:00,,
reuters,world,"Gold slips on firmer dollar, focus on geopolitics and US jobs data - Reuters","<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxNc3RQbmYwaFc0TXdhdU05TFcxaGZkbTU1ZUVlTDNQS2lOTG9yNVRJbkg0U2xuUWVJS0FnQ3dabHU3eUxoem41ZjdSb2pxak53U1VyQUFVaUl3RVJXdHVnamhudGg0RGxJVHdjYklNcGlKSmx0SndtNl95UFFYZTFyMW5felRhNnMwUkNxZEFiOE5qdUFtdThGYnlXVUlUNFFVZ3BNLTJGei0?oc=5"" target=""_blank"">Gold slips on firmer dollar, focus on geopolitics and US jobs data</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMiqAFBVV95cUxNc3RQbmYwaFc0TXdhdU05TFcxaGZkbTU1ZUVlTDNQS2lOTG9yNVRJbkg0U2xuUWVJS0FnQ3dabHU3eUxoem41ZjdSb2pxak53U1VyQUFVaUl3RVJXdHVnamhudGg0RGxJVHdjYklNcGlKSmx0SndtNl95UFFYZTFyMW5felRhNnMwUkNxZEFiOE5qdUFtdThGYnlXVUlUNFFVZ3BNLTJGei0?oc=5,2026-02-04 01:39:22+00:00,,
reuters,world,Nintendo shares slide 11% as Switch 2 momentum fears grow - Reuters,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxOQkdwcUFTel9vSUdqNHg4aWtJZVFXaDRaTENuQ1pCY09ZZ1NYc3VDUjROWEx3UmJETEdKMTJDWXc4Z2pyWjl5SDdsVW5XRGZRaXMzeEFiM092TzNLMlNyWHNBUWc2ZFIwT3B4YkVyOFhfSWJzV0RUX1VoU3hmN05fMzN1aDFaMFRZbHk3SjBMdEp0NC11MFlmQjd6WDY0QmlT?oc=5"" target=""_blank"">Nintendo shares slide 11% as Switch 2 momentum fears grow</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMioAFBVV95cUxOQkdwcUFTel9vSUdqNHg4aWtJZVFXaDRaTENuQ1pCY09ZZ1NYc3VDUjROWEx3UmJETEdKMTJDWXc4Z2pyWjl5SDdsVW5XRGZRaXMzeEFiM092TzNLMlNyWHNBUWc2ZFIwT3B4YkVyOFhfSWJzV0RUX1VoU3hmN05fMzN1aDFaMFRZbHk3SjBMdEp0NC11MFlmQjd6WDY0QmlT?oc=5,2026-02-04 02:19:00+00:00,,
reuters,world,"Global stock index dips with tech slump while dollar rises, oil rallies - Reuters","<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxOSVZqTGpfRkNIZi0tOXdubzJsaTIzb1c3cG5VRG5jOXRvYUFJckN5aFdacENFU3Fsa1JJcENXRXFPWUszYXRadk1mNDlZbndwdGlTTXhCUGRNbEFtMm1JaTNMTnJiVTZTUW5iTGpWaWU2THBxRU5qTG5FS2UzUU1zYzRQNA?oc=5"" target=""_blank"">Global stock index dips with tech slump while dollar rises, oil rallies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMigwFBVV95cUxOSVZqTGpfRkNIZi0tOXdubzJsaTIzb1c3cG5VRG5jOXRvYUFJckN5aFdacENFU3Fsa1JJcENXRXFPWUszYXRadk1mNDlZbndwdGlTTXhCUGRNbEFtMm1JaTNMTnJiVTZTUW5iTGpWaWU2THBxRU5qTG5FS2UzUU1zYzRQNA?oc=5,2026-02-04 02:28:54+00:00,,
reuters,world,"US urges its citizens in Cuba to brace for protests, outages, fuel shortage - Reuters","<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxNVkh1dV9rVERhclJ0RUhXOF90eG40clFFTGZEUGxUZlpVcTZYOU5RYW1fUXB6aFE1b1RfeGZtM3VnQmJnNUJ6QkdKU3BUcHBrTVk5S3dtUGd2QTZrTHU0b0E1ZG42N0UtUzJLZWF0c2oxXzVBbHRudmhmZjFaVW5JWHV6QUhodTR6aUl6RkRIMUZjeFR6cmhvUktZYVFTQzZzMXBCRWJDWkJTZHREZC1MODluRkw?oc=5"" target=""_blank"">US urges its citizens in Cuba to brace for protests, outages, fuel shortage</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMitAFBVV95cUxNVkh1dV9rVERhclJ0RUhXOF90eG40clFFTGZEUGxUZlpVcTZYOU5RYW1fUXB6aFE1b1RfeGZtM3VnQmJnNUJ6QkdKU3BUcHBrTVk5S3dtUGd2QTZrTHU0b0E1ZG42N0UtUzJLZWF0c2oxXzVBbHRudmhmZjFaVW5JWHV6QUhodTR6aUl6RkRIMUZjeFR6cmhvUktZYVFTQzZzMXBCRWJDWkJTZHREZC1MODluRkw?oc=5,2026-02-04 03:04:00+00:00,,
business_standard,world_news,Elon Musk hits record $800 billion net worth after SpaceX-xAI merger - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxQQW5WUVl1eVUzVXIzX1h3SmhGQ3E1MEJwbGRkb1hvaG1odVlic0w3aEFlYk81Vl83d1lwTU44UUtjZ0NvWEhBcFd0ZTZwaEs0ZzBOT1BHTHJqZ0Iyemw3aWtHZE9iVWFrdW0xMmlhUnZIcXEwRUl3ZkpNWWtqeTV5Ty1NWldWZWRHc1JNU01ackUtZHQ1QXJxMkJOVHJvUE5tSEk3ODRBOERvN0ZsbFVPUkhYenRldTVoRVpxQjdUNEhCUmFzTkZkci12ZFdRTFp2R0ZKM1NB0gHbAUFVX3lxTFBYWG5Rb2hmU3ZHQVlUUV9Ya2V4WVAwTEhmN0QxTlNXYS1BM3ZwNFcxR2ZMX2xSSVBUWWh1eXRsQnpsME1CV0lwRUlZcU1jY1pKaU1jdXRUQTNyNzF1MVBmNkdmVzMzSm8zUnFkWUJkNXNHa0tSRFUzN1hnT3FRaTR1X3VGM0hHUlpIQUI1YjdGeTJCZ1NHTjlBWUJDSm1DUWZ0NUFNb29WMzktVnZJTlZOY2Q3NndKWEdWYktEdlFTTG5FNU5xRlJod1hEa3U0LVdjcFA0N3pGU2JiNA?oc=5"" target=""_blank"">Elon Musk hits record $800 billion net worth after SpaceX-xAI merger</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",https://news.google.com/rss/articles/CBMi1gFBVV95cUxQQW5WUVl1eVUzVXIzX1h3SmhGQ3E1MEJwbGRkb1hvaG1odVlic0w3aEFlYk81Vl83d1lwTU44UUtjZ0NvWEhBcFd0ZTZwaEs0ZzBOT1BHTHJqZ0Iyemw3aWtHZE9iVWFrdW0xMmlhUnZIcXEwRUl3ZkpNWWtqeTV5Ty1NWldWZWRHc1JNU01ackUtZHQ1QXJxMkJOVHJvUE5tSEk3ODRBOERvN0ZsbFVPUkhYenRldTVoRVpxQjdUNEhCUmFzTkZkci12ZFdRTFp2R0ZKM1NB0gHbAUFVX3lxTFBYWG5Rb2hmU3ZHQVlUUV9Ya2V4WVAwTEhmN0QxTlNXYS1BM3ZwNFcxR2ZMX2xSSVBUWWh1eXRsQnpsME1CV0lwRUlZcU1jY1pKaU1jdXRUQTNyNzF1MVBmNkdmVzMzSm8zUnFkWUJkNXNHa0tSRFUzN1hnT3FRaTR1X3VGM0hHUlpIQUI1YjdGeTJCZ1NHTjlBWUJDSm1DUWZ0NUFNb29WMzktVnZJTlZOY2Q3NndKWEdWYktEdlFTTG5FNU5xRlJod1hEa3U0LVdjcFA0N3pGU2JiNA?oc=5,2026-02-04 03:46:27+00:00,,
reuters,world,Anthropic's AI plug-ins shake India's staffing-intensive IT sector; stocks dive 6% - Reuters,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxPclZZTWdLMjY3ZHZxalJZY3pPUDZXYjdYV2VLMmxINDVrNXZwMU9hWXpRdGhEcHFfVlhYZW1MRjVXZGRKd0YxVE9GV09PNjhQWmtDOGIwWUc1N2VjZnRhLXNZUTZNMlp5WHduejhlaUJXbGtBNDlNWEptVU4yMV80TmNrU1g1amZxUkU4a1ZTV2x5OUZNTmxKQ00tUHhzUWVkU25haU9tdGdaTU00YXBxazF5ZE8wS0gzYU9rQmJyNDM?oc=5"" target=""_blank"">Anthropic's AI plug-ins shake India's staffing-intensive IT sector; stocks dive 6%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMiwAFBVV95cUxPclZZTWdLMjY3ZHZxalJZY3pPUDZXYjdYV2VLMmxINDVrNXZwMU9hWXpRdGhEcHFfVlhYZW1MRjVXZGRKd0YxVE9GV09PNjhQWmtDOGIwWUc1N2VjZnRhLXNZUTZNMlp5WHduejhlaUJXbGtBNDlNWEptVU4yMV80TmNrU1g1amZxUkU4a1ZTV2x5OUZNTmxKQ00tUHhzUWVkU25haU9tdGdaTU00YXBxazF5ZE8wS0gzYU9rQmJyNDM?oc=5,2026-02-04 04:23:00+00:00,,
business_standard,technology,ChatGPT back online after facing major outage: Here's what happened - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxQVWRHOTBNR0E3WEFxbTZDbGRXcWpYTzliUE5jUzRHSHVrSnJ4WlVJcmtyY2xnOEluR3NCVmgzWDlEYnhLeDNvTmhIQ0xZaV9vOVdpR1EtNlI0TTU2MV92UUNBWm5hQ01qSlBEUF8zSWE2YXJPSnRiRGotTEJHaVlDc29fMkZPc1kwZGVZb0pUbFFReGhRQ0VzODR6WXZ4LUtiMVdGX2ktdWhmZVpVVXpVdk5yQXFDMVJVNUVWbDBFRjJNaWgyZnpXbkpYZXZRNkdLZHVSNmtoSTFqQWFlQTNPbFJ4U3o5OGgxenRpSWIwWdIB9AFBVV95cUxOcnRnQUgxZmVZVE4ySWdhU19XMW05ZFk2cGxGbVRPbGdjVGtoWEJ6R2h4bFRoRTJ6cXJJb0NFdndvX04xakZWUWttbmt6ZmFzYzBsY1EzMDI1TmlsaHhtNWQzN3MwZkpHSjhqYjVlOXhxTHlSSzZDVjhzaDRna1B5aXBiU0NBM25nRU85bnBYSmtKbTFDejRsN3NfUV9CYl9iM2lreXlScGdMR2lxR0cyTE5SMGU0Y1psY2FFWjdsNVRrR0NDQ3BHeTcxWEpMdWxJTGxZa2M5WVNYSjFRWi1meHpXNFEtWTdlMDFKc0NvNzZybElO?oc=5"" target=""_blank"">ChatGPT back online after facing major outage: Here's what happened</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",https://news.google.com/rss/articles/CBMi7wFBVV95cUxQVWRHOTBNR0E3WEFxbTZDbGRXcWpYTzliUE5jUzRHSHVrSnJ4WlVJcmtyY2xnOEluR3NCVmgzWDlEYnhLeDNvTmhIQ0xZaV9vOVdpR1EtNlI0TTU2MV92UUNBWm5hQ01qSlBEUF8zSWE2YXJPSnRiRGotTEJHaVlDc29fMkZPc1kwZGVZb0pUbFFReGhRQ0VzODR6WXZ4LUtiMVdGX2ktdWhmZVpVVXpVdk5yQXFDMVJVNUVWbDBFRjJNaWgyZnpXbkpYZXZRNkdLZHVSNmtoSTFqQWFlQTNPbFJ4U3o5OGgxenRpSWIwWdIB9AFBVV95cUxOcnRnQUgxZmVZVE4ySWdhU19XMW05ZFk2cGxGbVRPbGdjVGtoWEJ6R2h4bFRoRTJ6cXJJb0NFdndvX04xakZWUWttbmt6ZmFzYzBsY1EzMDI1TmlsaHhtNWQzN3MwZkpHSjhqYjVlOXhxTHlSSzZDVjhzaDRna1B5aXBiU0NBM25nRU85bnBYSmtKbTFDejRsN3NfUV9CYl9iM2lreXlScGdMR2lxR0cyTE5SMGU0Y1psY2FFWjdsNVRrR0NDQ3BHeTcxWEpMdWxJTGxZa2M5WVNYSjFRWi1meHpXNFEtWTdlMDFKc0NvNzZybElO?oc=5,2026-02-04 04:45:01+00:00,,
business_standard,world_news,Walmart's New CEO asks employees to air pain points in first memo - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQeXNGRnpzT1JWMndISTdiSmRIMVZhSUF6TWJBUjI4ZmhrcE9iY0pBQU9mMEtITXJBOThoTDc5VWR3VjhEM3NPMW93MXkzTVQ1NEFacTR3VnBackFjSWhrTnEyM0RiSVNXMURQdDl6aDZYRFo0akdrS2dEWUdXcnQ5VkZ0Y2JCaFF3SFJOTFUwdmVnU0FDREczLVNKQVJ2Z0pIX01TQjVMc1ZRQlVzNlJDSjhObG5VMFJOMjZuUmI2MER4VDlkdUJFblVB0gHPAUFVX3lxTE5tXzhpakQ3dkszZGs5ek4xNDFWcFZNVlowUHZNd3RjUlIzc0tkdHoyaTV4YjFXUEF0QVlRVElhWFpscUFoeTAxcFJuVjV5aXNnbUJLelg5Wi13aU9WbzBUYXpVNFBUZzBvVWFMRHpKcmRsZ1FpOWExSEtFd2JoSms4eGVOVnRjVWFINEpVN2R0U0FIOW1TUnRhSHlaMm5pNkd2eER5elJNS1ZHclVOMkpucW9QYVM2ZUR4MUNyZWZGeGFrOWxYN1pzcjdnQzFrWQ?oc=5"" target=""_blank"">Walmart's New CEO asks employees to air pain points in first memo</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",https://news.google.com/rss/articles/CBMiygFBVV95cUxQeXNGRnpzT1JWMndISTdiSmRIMVZhSUF6TWJBUjI4ZmhrcE9iY0pBQU9mMEtITXJBOThoTDc5VWR3VjhEM3NPMW93MXkzTVQ1NEFacTR3VnBackFjSWhrTnEyM0RiSVNXMURQdDl6aDZYRFo0akdrS2dEWUdXcnQ5VkZ0Y2JCaFF3SFJOTFUwdmVnU0FDREczLVNKQVJ2Z0pIX01TQjVMc1ZRQlVzNlJDSjhObG5VMFJOMjZuUmI2MER4VDlkdUJFblVB0gHPAUFVX3lxTE5tXzhpakQ3dkszZGs5ek4xNDFWcFZNVlowUHZNd3RjUlIzc0tkdHoyaTV4YjFXUEF0QVlRVElhWFpscUFoeTAxcFJuVjV5aXNnbUJLelg5Wi13aU9WbzBUYXpVNFBUZzBvVWFMRHpKcmRsZ1FpOWExSEtFd2JoSms4eGVOVnRjVWFINEpVN2R0U0FIOW1TUnRhSHlaMm5pNkd2eER5elJNS1ZHclVOMkpucW9QYVM2ZUR4MUNyZWZGeGFrOWxYN1pzcjdnQzFrWQ?oc=5,2026-02-04 04:50:55+00:00,,
